path,target_layer,inbound_refs,outbound_refs,cross_layer_violations
"i18n.ts","seed",0,0,0
"middleware-api-handler.ts","AMBIGUOUS",1,7,0
"middleware-helpers.ts","seed",1,0,0
"middleware.ts","seed",0,11,1
"navigation.ts","seed",1,0,0
"app/robots.ts","AMBIGUOUS",0,0,0
"app/sitemap.ts","AMBIGUOUS",0,0,0
"components/experiment-variant.tsx","seed",0,1,1
"components/language-switcher.tsx","seed",1,3,0
"components/posthog-provider.tsx","seed",1,0,0
"components/theme-toggle.tsx","seed",1,0,0
"components/UpgradeBanner.test.tsx","seed",0,1,0
"components/UpgradeBanner.tsx","seed",2,4,0
"components/video-preview.test.tsx","seed",0,1,0
"components/video-preview.tsx","seed",1,2,0
"config/defaults.ts","seed",0,0,0
"config/flags.test.ts","seed",0,1,0
"config/flags.ts","seed",4,1,0
"config/one-time-skus.ts","seed",7,1,0
"config/revenue-share.ts","seed",1,0,0
"data/affiliate-programs.json","seed",1,0,0
"hooks/use-agent-stream.ts","seed",2,0,0
"hooks/use-analytics-data.ts","seed",0,2,1
"hooks/use-raas-analytics.ts","seed",1,3,1
"hooks/use-toast.ts","seed",2,0,0
"lib/affiliates.ts","land",5,2,0
"lib/better-auth-client.ts","seed",2,0,0
"lib/better-auth-server.ts","seed",6,5,2
"lib/better-auth-session.ts","seed",207,3,0
"lib/export-utils.test.ts","seed",0,1,0
"lib/export-utils.ts","seed",2,0,0
"lib/features.test.ts","seed",0,1,0
"lib/features.ts","seed",4,3,0
"lib/index.ts","AMBIGUOUS",0,0,0
"lib/query-client.ts","AMBIGUOUS",3,0,0
"lib/raas-audit.ts","forest",7,0,0
"lib/raas-gate.test.ts","forest",0,1,0
"lib/raas-gate.ts","forest",2,0,0
"lib/raas-gateway-client.ts","forest",5,3,0
"lib/raas-gateway-types.ts","forest",1,0,0
"lib/raas-key-generator.test.ts","forest",0,1,0
"lib/raas-key-generator.ts","forest",3,2,0
"lib/raas-schema.ts","forest",12,0,0
"lib/raas-service-key-operations.ts","forest",1,5,0
"lib/raas-service-types-and-constants.ts","forest",3,1,0
"lib/raas-service.test.ts","forest",0,4,0
"lib/raas-service.ts","forest",2,4,0
"lib/redis.ts","seed",9,1,0
"lib/schemas.ts","seed",3,0,0
"lib/tier-guard.test.ts","AMBIGUOUS",0,3,0
"lib/tier-guard.ts","AMBIGUOUS",7,4,0
"lib/utils.test.ts","seed",0,1,0
"lib/utils.ts","seed",41,0,0
"middleware/index.ts","AMBIGUOUS",0,0,0
"middleware/rate-limit-config.test.ts","seed",0,1,0
"middleware/rate-limit-config.ts","seed",2,2,0
"middleware/rate-limit-tiers.ts","AMBIGUOUS",1,1,0
"middleware/rate-limit-wrapper.test.ts","AMBIGUOUS",0,2,0
"middleware/rate-limit-wrapper.ts","AMBIGUOUS",15,2,0
"middleware/rate-limiter.test.ts","AMBIGUOUS",0,1,0
"middleware/rate-limiter.ts","AMBIGUOUS",5,0,0
"middleware/tenant-isolation-access-validator.ts","forest",1,2,0
"middleware/tenant-isolation-agency-extractor.ts","forest",2,4,0
"middleware/tenant-isolation-resource-resolver.ts","forest",1,1,0
"middleware/tenant-isolation-types.ts","forest",1,0,0
"middleware/tenant-isolation.ts","forest",1,6,0
"sdk/index.ts","seed",3,0,0
"test/setup.tsx","AMBIGUOUS",0,0,0
